state,date,temperature,humidity,rain_mm,month,rainfall_prev,rain
Assam,2025-09-04,27.7,75,27.9,9,7.0,1
Assam,2025-09-05,27.0,75,12.3,9,27.9,1
Assam,2025-09-06,27.0,75,12.5,9,12.3,1
Assam,2025-09-07,26.9,75,7.7,9,12.5,1
Assam,2025-09-08,27.1,75,14.3,9,7.7,1
Assam,2025-09-09,27.2,75,15.5,9,14.3,1
Assam,2025-09-10,26.7,75,11.8,9,15.5,1
Assam,2025-09-11,27.3,75,5.6,9,11.8,1
Assam,2025-09-12,26.5,75,19.7,9,5.6,1
Assam,2025-09-13,26.3,75,30.7,9,19.7,1
Assam,2025-09-14,25.4,75,45.3,9,30.7,1
Assam,2025-09-15,24.8,75,42.5,9,45.3,1
Assam,2025-09-16,25.3,75,15.5,9,42.5,1
Assam,2025-09-17,25.7,75,13.5,9,15.5,1
Assam,2025-09-18,25.8,75,18.3,9,13.5,1
Assam,2025-09-19,26.5,75,7.4,9,18.3,1
Assam,2025-09-20,27.3,75,3.9,9,7.4,1
Assam,2025-09-21,28.2,75,5.4,9,3.9,1
Assam,2025-09-22,28.4,75,3.9,9,5.4,1
Assam,2025-09-23,28.1,75,11.9,9,3.9,1
Assam,2025-09-24,27.3,75,18.8,9,11.9,1
Assam,2025-09-25,29.1,75,0.0,9,18.8,0
Assam,2025-09-26,30.5,75,6.8,9,0.0,1
Assam,2025-09-27,27.2,75,6.4,9,6.8,1
Assam,2025-09-28,27.7,75,0.4,9,6.4,1
Assam,2025-09-29,28.9,75,0.4,9,0.4,1
Assam,2025-09-30,29.5,75,0.0,9,0.4,0
Assam,2025-10-01,25.6,75,23.3,10,0.0,1
Assam,2025-10-02,25.7,75,21.4,10,23.3,1
Assam,2025-10-03,26.2,75,6.4,10,21.4,1
Assam,2025-10-04,26.5,75,5.4,10,6.4,1
Assam,2025-10-05,25.6,75,1.9,10,5.4,1
Assam,2025-10-06,26.0,75,0.7,10,1.9,1
Assam,2025-10-07,26.2,75,14.1,10,0.7,1
Assam,2025-10-08,25.7,75,13.1,10,14.1,1
Assam,2025-10-09,25.8,75,14.4,10,13.1,1
Assam,2025-10-10,26.2,75,5.4,10,14.4,1
Assam,2025-10-11,24.9,75,8.3,10,5.4,1
Assam,2025-10-12,25.0,75,4.7,10,8.3,1
Assam,2025-10-13,25.5,75,0.2,10,4.7,0
Assam,2025-10-14,26.6,75,0.0,10,0.2,0
Assam,2025-10-15,27.1,75,0.0,10,0.0,0
Assam,2025-10-16,27.3,75,0.0,10,0.0,0
Assam,2025-10-17,26.9,75,0.0,10,0.0,0
Assam,2025-10-18,26.7,75,0.0,10,0.0,0
Assam,2025-10-19,26.8,75,0.0,10,0.0,0
Assam,2025-10-20,26.9,75,0.0,10,0.0,0
Assam,2025-10-21,26.6,75,0.0,10,0.0,0
Assam,2025-10-22,26.8,75,0.0,10,0.0,0
Assam,2025-10-23,26.7,75,0.0,10,0.0,0
Assam,2025-10-24,24.8,75,19.8,10,0.0,1
Assam,2025-10-25,24.1,75,3.6,10,19.8,1
Assam,2025-10-26,24.1,75,6.0,10,3.6,1
Assam,2025-10-27,24.8,75,0.0,10,6.0,0
Assam,2025-10-28,25.7,75,0.2,10,0.0,0
Assam,2025-10-29,25.3,75,0.2,10,0.2,0
Assam,2025-10-30,24.4,75,3.3,10,0.2,1
Assam,2025-10-31,22.8,75,8.1,10,3.3,1
Assam,2025-11-01,23.0,75,12.0,11,8.1,1
Assam,2025-11-02,23.0,75,11.4,11,12.0,1
Assam,2025-11-03,24.4,75,0.2,11,11.4,0
Assam,2025-11-04,25.2,75,0.0,11,0.2,0
Assam,2025-11-05,25.0,75,3.5,11,0.0,1
Assam,2025-11-06,23.7,75,0.8,11,3.5,1
Assam,2025-11-07,24.3,75,0.0,11,0.8,0
Assam,2025-11-08,24.5,75,0.0,11,0.0,0
Assam,2025-11-09,24.0,75,0.0,11,0.0,0
Assam,2025-11-10,23.8,75,0.0,11,0.0,0
Assam,2025-11-11,23.3,75,0.0,11,0.0,0
Assam,2025-11-12,23.0,75,0.2,11,0.0,0
Assam,2025-11-13,22.9,75,0.1,11,0.2,0
Assam,2025-11-14,22.6,75,0.0,11,0.1,0
Assam,2025-11-15,22.4,75,0.0,11,0.0,0
Assam,2025-11-16,22.1,75,0.0,11,0.0,0
Assam,2025-11-17,21.6,75,0.0,11,0.0,0
Assam,2025-11-18,21.5,75,0.0,11,0.0,0
Assam,2025-11-19,22.1,75,0.0,11,0.0,0
Assam,2025-11-20,22.7,75,0.0,11,0.0,0
Assam,2025-11-21,22.0,75,5.9,11,0.0,1
Assam,2025-11-22,20.9,75,0.2,11,5.9,0
Assam,2025-11-23,19.4,75,5.0,11,0.2,1
Assam,2025-11-24,19.8,75,0.0,11,5.0,0
Manipur,2025-09-01,25.5,75,0.6,9,0.0,1
Manipur,2025-09-02,24.3,75,1.7,9,0.6,1
Manipur,2025-09-03,24.9,75,0.4,9,1.7,1
Manipur,2025-09-04,24.9,75,15.5,9,0.4,1
Manipur,2025-09-05,24.9,75,4.9,9,15.5,1
Manipur,2025-09-06,24.9,75,0.7,9,4.9,1
Manipur,2025-09-07,24.8,75,2.8,9,0.7,1
Manipur,2025-09-08,25.3,75,1.5,9,2.8,1
Manipur,2025-09-09,25.0,75,2.7,9,1.5,1
Manipur,2025-09-10,24.9,75,0.8,9,2.7,1
Manipur,2025-09-11,25.3,75,1.7,9,0.8,1
Manipur,2025-09-12,24.7,75,5.1,9,1.7,1
Manipur,2025-09-13,24.0,75,4.1,9,5.1,1
Manipur,2025-09-14,23.1,75,10.1,9,4.1,1
Manipur,2025-09-15,23.1,75,19.4,9,10.1,1
Manipur,2025-09-16,23.2,75,8.0,9,19.4,1
Manipur,2025-09-17,24.3,75,2.0,9,8.0,1
Manipur,2025-09-18,23.9,75,7.0,9,2.0,1
Manipur,2025-09-19,24.7,75,2.1,9,7.0,1
Manipur,2025-09-20,25.1,75,3.9,9,2.1,1
Manipur,2025-09-21,25.3,75,0.8,9,3.9,1
Manipur,2025-09-22,25.0,75,1.0,9,0.8,1
Manipur,2025-09-23,25.7,75,1.2,9,1.0,1
Manipur,2025-09-24,25.3,75,0.3,9,1.2,1
Manipur,2025-09-25,25.7,75,0.0,9,0.3,0
Manipur,2025-09-26,26.1,75,0.0,9,0.0,0
Manipur,2025-09-27,24.7,75,0.6,9,0.0,1
Manipur,2025-09-28,25.1,75,0.5,9,0.6,1
Manipur,2025-09-29,26.0,75,0.3,9,0.5,1
Manipur,2025-09-30,26.6,75,0.1,9,0.3,0
Manipur,2025-10-01,23.6,75,10.8,10,0.1,1
Manipur,2025-10-02,23.5,75,21.3,10,10.8,1
